,_id,date,query_reference,user_id,query,result,result_index
2600,61e6cb301fde15c89b459b97,2022-01-17 20:05:15.405000,375739698,HmmFJAlM43hZNKuUAxd7,ECLINLGHARL20193554,ECLINLGHSHE20193098,0
2601,61e6cb301fde15c89b459b98,2022-01-17 20:48:41.410000,1644802647,kgNxwEUg6TYOTwo30rUIvd5Ysyd2,ECLINLGHARL2021174,ECLINLPHR20211087,0
2602,61e6cb301fde15c89b459b99,2022-01-17 22:17:40.478000,1099930848,c12U9DhhgcYRoKlh0GQ9AV17qcL2,ECLINLHR2019907,ECLINLHR2020449,10
2603,61e6cb301fde15c89b459b9a,2022-01-17 22:35:37.880000,1099112639,kgNxwEUg6TYOTwo30rUIvd5Ysyd2,ECLINLPHR20211087,ECLINLGHARL2021174,0
2604,61e6cb301fde15c89b459b9b,2022-01-18 08:08:36.119000,128733773,AgEOeqXJuqtSHdj80mYw,ECLINLRBNHO202111706,ECLINLRBNNE20214614,11
2605,61e6cb301fde15c89b459b9c,2022-01-18 08:12:04.231000,-1546290042,MtdN78fL3jcrne7d1YoNOWN4Gh32,ECLINLRBAMS20211019,ECLINLRBAMS20211020,0
2606,61e6cb301fde15c89b459b9d,2022-01-18 08:12:53.546000,-559707353,MtdN78fL3jcrne7d1YoNOWN4Gh32,ECLINLRBAMS20211018,ECLINLRBAMS20211020,0
2607,61e6cb301fde15c89b459b9e,2022-01-18 08:19:10.153000,-2061348271,2vsWICsfKmlryW23KJjF,ECLINLRBMNE20214069,ECLINLGHAMS20212686,4
2608,61e6cb301fde15c89b459b9f,2022-01-18 08:21:51.255000,-102061599,X54Bv1dqUBqNRG4tUaFv,ECLINLRBNHO20213978,ECLINLRBGEL20211562,8
2609,61e6cb301fde15c89b459ba0,2022-01-18 08:21:51.255000,-102061599,X54Bv1dqUBqNRG4tUaFv,ECLINLRBNHO20213978,ECLINLGHARL20204540,12
2610,61e6cb301fde15c89b459ba1,2022-01-18 08:23:01.488000,-716850065,X54Bv1dqUBqNRG4tUaFv,ECLINLRBGEL20211562,ECLINLGHARL20204540,3
2611,61e6cb301fde15c89b459ba2,2022-01-18 08:25:59.652000,586961812,X54Bv1dqUBqNRG4tUaFv,ECLINLRBGEL20204086,ECLINLGHARL20204540,14
2612,61e6cb301fde15c89b459ba3,2022-01-18 08:36:29.925000,-2109178376,LQ6qiJILInOlqz2VDWN1EQx616s2,ECLINLHR20201996,ECLINLHR2021944,17
2613,61e6cb301fde15c89b459ba4,2022-01-18 08:37:38.820000,-1514068974,BqeAv2g0noZgfPv0PnT58fBhCf12,ECLINLRBAMS20216461,ECLINLRBNHO202111187,1
2614,61e6cb301fde15c89b459ba5,2022-01-18 08:50:48.203000,-535649055,zkdcXicRCwNhxInL62oUFXaNJ4P2,ECLINLGHDHA202137,ECLINLRBROT20198078,3
2615,61e6cb301fde15c89b459ba6,2022-01-18 09:01:01.993000,-50665913,ad4fGaeGxSsFHaJuPRy0,ECLINLRBOBR20215059,ECLINLRBZWB20212275,5
2616,61e6cb301fde15c89b459ba7,2022-01-18 09:02:37.429000,1156286111,knFSiQmz2MOWS3ZqTLpz,ECLINLRBROT202112645,ECLINLRBROT202112644,0
2617,61e6cb301fde15c89b459ba8,2022-01-18 09:12:03.198000,1750162471,n2lnu1uKNG8UJc6Aq7cQ,ECLINLRBNHO202110044,ECLINLRBDHA20186579,0
2618,61e6cb301fde15c89b459ba9,2022-01-18 10:10:05.683000,1191680474,LQ6qiJILInOlqz2VDWN1EQx616s2,ECLINLHR2021188,ECLINLGHSHE20194187,8
2619,61e6cb301fde15c89b459baa,2022-01-18 10:12:24.779000,-1209312241,n2lnu1uKNG8UJc6Aq7cQ,ECLINLRBGEL20215598,ECLINLCRVB20211299,14
2620,61e6cb301fde15c89b459bab,2022-01-18 10:23:06.272000,-1282536783,ze6AwRvSuHlrLT4b1IPl,ECLINLRVS20141666,ECLINLRVS20142628,0
2621,61e6cb301fde15c89b459bac,2022-01-18 10:48:19.499000,1745263311,3HtnjVcgbJNmgIufBIvXMxCBfoe2,ECLINLRBNNE20195181,ECLINLRBGEL2019877,0
2622,61e6cb301fde15c89b459bad,2022-01-18 10:49:29.481000,1988320336,gLX9VokPmhV3bi5D3bCO,ECLINLGHSHE20142969,ECLINLGHDHA20151750,2
2623,61e6cb301fde15c89b459bae,2022-01-18 10:50:10.379000,1315373165,gLX9VokPmhV3bi5D3bCO,ECLINLGHDHA20151750,ECLINLGHSHE20142969,2
2624,61e6cb301fde15c89b459baf,2022-01-18 10:50:10.754000,1158824317,kgNxwEUg6TYOTwo30rUIvd5Ysyd2,ECLINLPHR20211087,ECLINLGHARL2021174,0
2625,61e6cb301fde15c89b459bb0,2022-01-18 10:57:20.165000,443239180,mgdAakrTKkNEr8HIdl2aslLsXjF3,ECLINLPHR2020884,ECLINLHR2021524,1
2626,61e6cb301fde15c89b459bb1,2022-01-18 10:58:26.904000,-108166380,AgEOeqXJuqtSHdj80mYw,ECLINLRBMNE20213384,ECLINLRBZWB20162665,0
2627,61e6cb301fde15c89b459bb2,2022-01-18 11:00:43.403000,-99927291,45wGsKMPrgZUgvRgjcK4,ECLINLRVS20212252,ECLINLRVS20212084,19
2628,61e6cb301fde15c89b459bb3,2022-01-18 11:01:10.019000,-952638251,AgEOeqXJuqtSHdj80mYw,ECLINLRBMNE20213384,ECLINLRBZWB20162665,0
2629,61e6cb301fde15c89b459bb4,2022-01-18 11:15:29.233000,1156455438,BBHqCIvWLcMg8eZ08qBli2w1g7g1,ECLINLHR2021188,ECLINLHR20172905,5
2630,61e6cb301fde15c89b459bb5,2022-01-18 11:34:26.471000,97094645,mgdAakrTKkNEr8HIdl2aslLsXjF3,ECLINLHR2021524,ECLINLPHR2020884,3
2631,61e6cb301fde15c89b459bb6,2022-01-18 11:37:10.731000,1615442144,CD9Fu4D4RRSJPSsTF4PjqK5J2wJ3,ECLINLHR2019816,ECLINLHR2019817,0
2632,61e6cb301fde15c89b459bb7,2022-01-18 12:10:45.457000,-2135910552,WkzIHkX8pxXnj5GeJyOrdcajM2l1,ECLINLRBMNE20215705,ECLINLRBMNE20191258,8
2633,61e6cb301fde15c89b459bb8,2022-01-18 12:11:56.545000,2111226334,9Yx216Jqy8Tlh1GkJcw4z7kWxDi2,ECLINLRVS20202912,ECLINLRVS20202839,10
2634,61e6cb301fde15c89b459bb9,2022-01-18 12:14:38.649000,-141186290,sVo9mjuU19fDfWwdqcOtOUTfCA72,ECLINLCBB2021847,ECLINLCBB2016285,13
2635,61e6cb301fde15c89b459bba,2022-01-18 12:15:08.554000,-230859932,9Yx216Jqy8Tlh1GkJcw4z7kWxDi2,ECLINLRVS20203104,ECLINLRVS20202839,0
2636,61e6cb301fde15c89b459bbb,2022-01-18 13:05:53.152000,1014798741,dFnNMploXlUVjppVFCRm,Bij besluit van 15 september 2011 heeft het Participatiefonds er niet mee ingestemd dat de uitkeringskosten die voortvloeien uit het ontslag van een werkneemster,ECLINLRBSGR2009BJ1686,0
2637,61e6cb301fde15c89b459bbc,2022-01-18 13:06:03.667000,-574577443,bLcaV2NvstZvs2LC6FOg,ECLINLHR2003AM2379,ECLINLHR20141336,16
2638,61e6cb301fde15c89b459bbd,2022-01-18 13:16:14.536000,-2136055261,lpxCepqQEvf6D5637FmURRpxaGt2,ECLINLGHAMS20213300,ECLINLGHAMS20213176,9
2639,61e6cb301fde15c89b459bbe,2022-01-18 13:42:06.268000,1656215232,gL2nKdD39IfauTGOudNdYEYTHt92,ECLINLHR2012BV3680,ECLINLHR1995ZC1609,13
2640,61e6cb301fde15c89b459bbf,2022-01-18 13:47:36.330000,-1882537835,DbbRFfG8ctC95EJxhGTQ,ECLINLRBROT20164960,ECLINLRBSGR2012BY3985,2
2641,61e6cb301fde15c89b459bc0,2022-01-18 13:48:52.342000,430438843,lpxCepqQEvf6D5637FmURRpxaGt2,ECLINLGHAMS20213979,ECLINLGHAMS20213978,2
2642,61e6cc971fde15c89b459bc2,2022-01-18 13:59:57.835000,-1980422620,AmLz5LrrDTDfG0z2cOFQ,ECLINLRBGEL20206591,ECLINLGHSHE20202707,1
2643,61e6cc971fde15c89b459bc3,2022-01-18 14:04:09.272000,-926702958,VE7ApCAFeRJDmOVqIhyG,ECLINLRBARN2011BU7626,ECLINLRBMNE20155474,1
